Year,Week,Need State,Dc Amount,Store Amt On Hand,Date
2022,18,Need State 1,4510617.0,5426955.0,2022-05-02
2022,18,Need State 2,728430.0,2425101.0,2022-05-02
2022,18,Need State 3,1487045.25,3714513.75,2022-05-02
2022,18,Need State 4,722916.75,1741586.25,2022-05-02
2022,18,Need State 5,2219390.25,2292835.5,2022-05-02
2022,18,Need State 6,3042759.0,2740159.5,2022-05-02
2022,19,Need State 1,4581154.5,5338629.75,2022-05-09
2022,19,Need State 2,715961.25,2397145.5,2022-05-09
2022,19,Need State 3,1523069.25,3703206.75,2022-05-09
2022,19,Need State 4,795934.5,1740779.25,2022-05-09
2022,19,Need State 5,2419461.0,2300214.75,2022-05-09
2022,19,Need State 6,3242605.5,2731635.0,2022-05-09
2022,20,Need State 1,4528831.5,5089863.0,2022-05-16
2022,20,Need State 2,810265.5,2379420.0,2022-05-16
2022,20,Need State 3,1501898.25,3692773.5,2022-05-16
2022,20,Need State 4,863393.25,1692465.0,2022-05-16
2022,20,Need State 5,2238211.5,1986108.75,2022-05-16
2022,20,Need State 6,3880253.25,2653677.0,2022-05-16
2022,21,Need State 1,5149377.75,5474871.0,2022-05-23
2022,21,Need State 2,662451.0,2445935.25,2022-05-23
2022,21,Need State 3,1463990.25,3776847.75,2022-05-23
2022,21,Need State 4,825695.25,1743278.25,2022-05-23
2022,21,Need State 5,2051296.5,2027337.0,2022-05-23
2022,21,Need State 6,3874480.5,2808366.0,2022-05-23
2022,22,Need State 1,5295673.5,5877516.0,2022-05-30
2022,22,Need State 2,680552.25,2698783.5,2022-05-30
2022,22,Need State 3,1512074.25,4115906.25,2022-05-30
2022,22,Need State 4,756702.75,1858278.0,2022-05-30
2022,22,Need State 5,1672439.25,1938597.75,2022-05-30
2022,22,Need State 6,3922320.75,2968051.5,2022-05-30
2022,23,Need State 1,5126610.0,5681484.75,2022-06-06
2022,23,Need State 2,881702.25,2654892.0,2022-06-06
2022,23,Need State 3,1590522.0,4038271.5,2022-06-06
2022,23,Need State 4,738271.5,1851035.25,2022-06-06
2022,23,Need State 5,1603265.25,2075056.5,2022-06-06
2022,23,Need State 6,3831320.25,3000021.75,2022-06-06
2022,24,Need State 1,4815375.0,5462408.25,2022-06-13
2022,24,Need State 2,1078920.75,2592749.25,2022-06-13
2022,24,Need State 3,1609374.75,4084571.25,2022-06-13
2022,24,Need State 4,788746.5,1784637.75,2022-06-13
2022,24,Need State 5,1748004.75,1962462.75,2022-06-13
2022,24,Need State 6,3548124.0,2935481.25,2022-06-13
2022,25,Need State 1,4492306.5,5585256.75,2022-06-20
2022,25,Need State 2,1071737.25,2578538.25,2022-06-20
2022,25,Need State 3,1744253.25,4001175.0,2022-06-20
2022,25,Need State 4,850764.75,1745373.75,2022-06-20
2022,25,Need State 5,1486710.0,1920570.0,2022-06-20
2022,25,Need State 6,3361856.25,3150865.5,2022-06-20
2022,26,Need State 1,4138507.5,5625784.5,2022-06-27
2022,26,Need State 2,1088970.75,2603371.5,2022-06-27
2022,26,Need State 3,2147322.75,4006296.0,2022-06-27
2022,26,Need State 4,867011.25,1780715.25,2022-06-27
2022,26,Need State 5,1238617.5,1871043.75,2022-06-27
2022,26,Need State 6,3135382.5,3164673.0,2022-06-27
